PLAYER_ID,PLAYER_NAME,BASE_NICKNAME,BASE_TEAM_ID,BASE_TEAM_ABBREVIATION,BASE_AGE,BASE_GP,BASE_W,BASE_L,BASE_W_PCT,BASE_MIN,BASE_FGM,BASE_FGA,BASE_FG_PCT,BASE_FG3M,BASE_FG3A,BASE_FG3_PCT,BASE_FTM,BASE_FTA,BASE_FT_PCT,BASE_OREB,BASE_DREB,BASE_REB,BASE_AST,BASE_TOV,BASE_STL,BASE_BLK,BASE_BLKA,BASE_PF,BASE_PFD,BASE_PTS,BASE_PLUS_MINUS,BASE_NBA_FANTASY_PTS,BASE_DD2,BASE_TD3,BASE_WNBA_FANTASY_PTS,BASE_GP_RANK,BASE_W_RANK,BASE_L_RANK,BASE_W_PCT_RANK,BASE_MIN_RANK,BASE_FGM_RANK,BASE_FGA_RANK,BASE_FG_PCT_RANK,BASE_FG3M_RANK,BASE_FG3A_RANK,BASE_FG3_PCT_RANK,BASE_FTM_RANK,BASE_FTA_RANK,BASE_FT_PCT_RANK,BASE_OREB_RANK,BASE_DREB_RANK,BASE_REB_RANK,BASE_AST_RANK,BASE_TOV_RANK,BASE_STL_RANK,BASE_BLK_RANK,BASE_BLKA_RANK,BASE_PF_RANK,BASE_PFD_RANK,BASE_PTS_RANK,BASE_PLUS_MINUS_RANK,BASE_NBA_FANTASY_PTS_RANK,BASE_DD2_RANK,BASE_TD3_RANK,BASE_WNBA_FANTASY_PTS_RANK,BASE_TEAM_COUNT,ADV_NICKNAME,ADV_TEAM_ID,ADV_TEAM_ABBREVIATION,ADV_AGE,ADV_GP,ADV_W,ADV_L,ADV_W_PCT,ADV_MIN,ADV_E_OFF_RATING,ADV_OFF_RATING,ADV_sp_work_OFF_RATING,ADV_E_DEF_RATING,ADV_DEF_RATING,ADV_sp_work_DEF_RATING,ADV_E_NET_RATING,ADV_NET_RATING,ADV_sp_work_NET_RATING,ADV_AST_PCT,ADV_AST_TO,ADV_AST_RATIO,ADV_OREB_PCT,ADV_DREB_PCT,ADV_REB_PCT,ADV_TM_TOV_PCT,ADV_E_TOV_PCT,ADV_EFG_PCT,ADV_TS_PCT,ADV_USG_PCT,ADV_E_USG_PCT,ADV_E_PACE,ADV_PACE,ADV_PACE_PER40,ADV_sp_work_PACE,ADV_PIE,ADV_POSS,ADV_FGM,ADV_FGA,ADV_FGM_PG,ADV_FGA_PG,ADV_FG_PCT,ADV_GP_RANK,ADV_W_RANK,ADV_L_RANK,ADV_W_PCT_RANK,ADV_MIN_RANK,ADV_E_OFF_RATING_RANK,ADV_OFF_RATING_RANK,ADV_sp_work_OFF_RATING_RANK,ADV_E_DEF_RATING_RANK,ADV_DEF_RATING_RANK,ADV_sp_work_DEF_RATING_RANK,ADV_E_NET_RATING_RANK,ADV_NET_RATING_RANK,ADV_sp_work_NET_RATING_RANK,ADV_AST_PCT_RANK,ADV_AST_TO_RANK,ADV_AST_RATIO_RANK,ADV_OREB_PCT_RANK,ADV_DREB_PCT_RANK,ADV_REB_PCT_RANK,ADV_TM_TOV_PCT_RANK,ADV_E_TOV_PCT_RANK,ADV_EFG_PCT_RANK,ADV_TS_PCT_RANK,ADV_USG_PCT_RANK,ADV_E_USG_PCT_RANK,ADV_E_PACE_RANK,ADV_PACE_RANK,ADV_sp_work_PACE_RANK,ADV_PIE_RANK,ADV_FGM_RANK,ADV_FGA_RANK,ADV_FGM_PG_RANK,ADV_FGA_PG_RANK,ADV_FG_PCT_RANK,ADV_TEAM_COUNT,REFRESHED_AT,MASTER_BUILT_AT
1630639,A.J. Lawson,A.J.,1610612761,TOR,25.0,1,0,1,0.0,13.5,4.0,8.0,0.5,2.0,3.0,0.667,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,-5.0,16.0,0,0,17.0,488,473,437,473,338,167,180,143,77,206,9,448,451,448,159,99,118,471,459,452,415,425,1,463,188,442,263,150,18,232,1,A.J.,1610612761,TOR,25.0,1,0,1,0.0,13.5,124.5,125.9,125.9,142.8,144.4,144.4,-18.3,-18.5,-18.5,0.0,0.0,0.0,0.091,0.267,0.192,0.0,0.0,0.625,0.625,0.276,0.282,97.39,96.25,80.21,96.25,0.075,27,4,8,4.0,8.0,0.5,488,473,19,473,338,26,21,21,489,491,491,455,450,450,471,447,471,70,6,9,1,1,76,116,36,36,464,479,479,322,436,446,167,180,143,1,2025-12-09T10:23:06.628420+00:00,2025-12-09T10:24:05.043496+00:00
1631260,AJ Green,AJ,1610612749,MIL,26.0,24,10,14,0.417,29.0,3.6,7.3,0.489,3.3,6.8,0.485,0.8,1.0,0.792,0.0,2.8,2.8,2.1,0.8,0.5,0.1,0.2,2.8,1.4,11.3,0.4,19.0,0,0,20.8,19,166,66,304,109,194,207,180,12,38,41,289,297,198,462,191,261,184,270,295,346,327,61,220,165,221,218,150,18,185,1,AJ,1610612749,MIL,26.0,24,10,14,0.417,29.0,116.3,117.2,117.2,114.5,116.6,116.6,1.9,0.6,0.6,0.095,2.55,19.9,0.001,0.096,0.049,7.8,7.8,0.713,0.724,0.126,0.13,102.26,100.92,84.1,100.92,0.071,1463,86,176,3.6,7.3,0.489,19,166,416,304,109,124,117,117,311,366,366,197,225,225,316,87,182,462,325,413,138,137,32,30,405,408,267,352,352,346,132,142,194,207,180,1,2025-12-09T10:23:06.628420+00:00,2025-12-09T10:24:05.043496+00:00
1642358,AJ Johnson,AJ,1610612764,WAS,21.0,10,0,10,0.0,4.5,0.2,1.3,0.154,0.0,0.3,0.0,0.3,0.4,0.75,0.2,0.4,0.6,0.4,0.2,0.0,0.0,0.5,0.3,0.3,0.7,-1.7,1.8,0,0,1.7,369,473,137,473,460,480,459,482,421,439,421,390,400,261,429,459,464,425,438,452,415,156,479,425,480,307,485,150,18,488,1,AJ,1610612764,WAS,21.0,10,0,10,0.0,4.5,97.1,98.9,98.9,122.3,120.2,120.2,-25.2,-21.3,-21.3,0.125,2.0,19.0,0.042,0.083,0.063,9.5,9.6,0.154,0.237,0.16,0.163,96.23,96.14,80.12,96.14,-0.006,91,2,13,0.2,1.3,0.154,369,473,324,473,460,463,448,448,461,434,434,474,465,465,232,172,197,221,375,344,224,235,482,479,279,288,476,481,481,484,457,417,480,459,482,1,2025-12-09T10:23:06.628420+00:00,2025-12-09T10:24:05.043496+00:00
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,13,10,3,0.769,28.3,6.3,11.8,0.532,2.2,4.8,0.444,4.0,4.6,0.867,1.5,4.5,5.9,1.3,1.4,0.8,0.2,0.4,1.8,3.4,18.8,12.7,29.5,2,0,30.2,323,166,388,52,123,70,97,95,71,111,63,49,54,90,97,78,74,285,159,195,273,216,236,69,57,3,102,67,18,89,1,Aaron,1610612743,DEN,30.0,13,10,3,0.769,28.3,124.9,125.7,125.7,105.1,105.0,105.0,19.8,20.7,20.7,0.062,0.94,7.9,0.053,0.147,0.102,8.4,8.4,0.623,0.676,0.221,0.228,101.34,101.0,84.17,101.0,0.13,777,82,154,6.3,11.8,0.532,323,166,83,52,123,24,23,23,76,80,80,26,25,25,409,394,444,163,154,147,168,167,79,55,110,111,331,342,342,72,142,170,70,97,95,1,2025-12-09T10:23:06.628420+00:00,2025-12-09T10:24:05.043496+00:00
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,16,13,3,0.813,17.1,2.9,6.3,0.455,1.8,4.2,0.433,1.5,1.7,0.889,0.1,0.9,1.0,1.2,0.9,0.5,0.2,0.2,1.3,1.5,9.1,5.6,13.2,0,0,14.4,266,96,388,39,284,243,233,257,104,152,77,178,197,69,449,415,425,303,249,301,301,340,338,206,206,49,306,150,18,280,1,Aaron,1610612745,HOU,29.0,16,13,3,0.813,17.1,121.3,121.2,121.2,104.9,104.3,104.3,16.3,16.9,16.9,0.095,1.27,13.0,0.008,0.046,0.028,10.3,10.2,0.599,0.642,0.194,0.201,100.45,100.76,83.97,100.76,0.086,571,46,101,2.9,6.3,0.455,266,96,83,39,284,50,57,57,74,69,69,40,41,41,319,331,350,454,465,475,272,270,117,96,169,167,388,362,362,257,245,245,243,233,257,1,2025-12-09T10:23:06.628420+00:00,2025-12-09T10:24:05.043496+00:00
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,11,1,10,0.091,30.4,4.9,13.4,0.367,2.8,7.5,0.373,2.8,3.5,0.795,1.5,2.9,4.5,1.5,0.7,0.8,0.3,0.9,2.5,3.5,15.5,-3.9,25.7,0,0,26.5,354,441,137,468,83,124,72,407,29,23,171,86,89,193,90,181,148,250,304,170,235,42,100,66,97,412,136,150,18,121,1,Aaron,1610612754,IND,26.0,11,1,10,0.091,30.4,107.9,109.6,109.6,113.2,116.6,116.6,-5.3,-7.0,-7.0,0.079,2.13,9.1,0.042,0.099,0.067,4.3,4.2,0.473,0.518,0.199,0.207,104.63,102.3,85.25,102.3,0.079,716,54,147,4.9,13.4,0.367,354,441,324,468,83,347,312,312,269,365,365,322,338,338,371,152,432,220,317,309,53,53,385,375,157,152,109,247,247,296,216,184,124,72,407,1,2025-12-09T10:23:06.628420+00:00,2025-12-09T10:24:05.043496+00:00
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,13,12,1,0.923,25.4,5.2,10.8,0.486,2.5,5.8,0.434,0.8,1.0,0.769,0.8,2.4,3.2,2.2,1.2,0.5,0.6,0.4,2.2,0.8,13.8,9.0,23.2,0,0,24.0,323,122,437,28,167,106,115,186,41,65,75,292,297,240,196,227,229,183,196,297,102,216,161,333,118,20,161,150,18,145,1,Aaron,1610612760,OKC,26.0,13,12,1,0.923,25.4,121.0,121.1,121.1,104.9,103.3,103.3,16.1,17.8,17.8,0.119,1.87,14.8,0.035,0.085,0.062,7.9,7.9,0.604,0.614,0.206,0.209,101.2,101.99,84.99,101.99,0.098,697,68,140,5.2,10.8,0.486,323,122,19,28,167,53,58,58,72,58,58,41,38,38,247,205,296,260,372,349,144,146,107,140,143,147,346,266,266,190,182,195,106,115,186,1,2025-12-09T10:23:06.628420+00:00,2025-12-09T10:24:05.043496+00:00
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,23,8,15,0.348,23.2,4.0,9.0,0.447,1.5,4.2,0.365,0.7,1.0,0.773,1.4,1.9,3.3,1.7,1.4,0.8,0.3,0.2,2.5,1.0,10.3,-5.3,18.9,0,0,19.1,70,221,45,339,200,167,157,280,136,153,189,296,307,233,105,286,227,224,157,165,189,349,93,297,180,452,220,150,18,208,1,Ace,1610612762,UTA,19.0,23,8,15,0.348,23.2,109.2,109.7,109.7,120.0,120.5,120.5,-10.8,-10.8,-10.8,0.112,1.25,13.9,0.054,0.083,0.068,11.1,11.1,0.532,0.547,0.185,0.189,104.81,104.3,86.92,104.3,0.062,1162,92,206,4.0,9.0,0.447,70,221,433,339,200,319,305,305,437,439,439,406,401,401,263,334,330,157,380,307,317,317,262,319,200,207,105,125,125,381,120,116,167,157,280,1,2025-12-09T10:23:06.628420+00:00,2025-12-09T10:24:05.043496+00:00
1641737,Adem Bona,Adem,1610612755,PHI,22.0,17,11,6,0.647,16.1,1.3,2.4,0.55,0.1,0.2,0.333,0.8,1.4,0.583,1.5,2.2,3.7,0.2,0.7,0.4,1.5,0.2,1.9,1.4,3.5,0.6,13.1,0,0,11.2,247,141,277,132,300,376,410,79,414,447,245,283,244,400,92,252,193,457,313,364,16,308,219,221,376,210,307,150,18,328,1,Adem,1610612755,PHI,22.0,17,11,6,0.647,16.1,110.4,112.2,112.2,108.5,109.5,109.5,1.9,2.6,2.6,0.014,0.25,4.6,0.09,0.121,0.106,18.5,18.3,0.563,0.583,0.092,0.095,104.3,102.96,85.8,102.96,0.054,584,22,40,1.3,2.4,0.55,247,141,178,132,300,282,243,243,135,153,153,194,177,177,468,441,466,74,235,132,469,468,170,210,467,468,129,203,203,402,343,352,376,410,79,1,2025-12-09T10:23:06.628420+00:00,2025-12-09T10:24:05.043496+00:00
1642876,Adou Thiero,Adou,1610612747,LAL,21.0,8,6,2,0.75,6.4,0.4,0.6,0.6,0.0,0.0,0.0,0.5,0.6,0.8,0.5,0.3,0.8,0.1,0.4,0.3,0.0,0.1,1.1,0.4,1.3,-2.4,2.7,0,0,2.6,393,267,416,59,442,472,484,52,421,457,421,341,360,173,296,472,455,462,396,397,415,388,366,403,466,341,478,150,18,474,1,Adou,1610612747,LAL,21.0,8,6,2,0.75,6.4,119.2,116.8,116.8,135.2,133.3,133.3,-16.0,-16.5,-16.5,0.027,0.33,9.1,0.089,0.054,0.073,27.3,26.8,0.6,0.694,0.085,0.09,99.54,101.28,84.4,101.28,0.008,107,3,5,0.4,0.6,0.6,393,267,62,59,442,71,125,125,486,486,486,443,444,444,463,439,432,76,460,272,488,487,113,43,477,473,423,319,319,475,447,460,472,484,52,1,2025-12-09T10:23:06.628420+00:00,2025-12-09T10:24:05.043496+00:00
